"","text","score","klasifikasi"
"64"," hope im wrong  england got  chance southgate  picked players whove  injured amp coming back  lon",-1,"Negatif"
"65","southgate  got maguires back",0,"Netral"
"66","  winning anything  southgate  chargeget  ",1,"Positif"
"67","gareth southgate  harry maguire  one   best centrebacks",1,"Positif"
"68"," get  impression  even southgate doesnt know     stuff  ",0,"Netral"
"69","spurs  dull  boring  im almost looking forward  watching gareth southgates england",-2,"Negatif"
"70","finallyi  found  video obidient dorime songomo see goosebumpsifbmaguire lai mohammed old tr",0,"Netral"
"71","  bad  southgate may   able  selectfullbacks   starting team",-1,"Negatif"
"72"," fact thatisnt   england squad  criminal imo southgate hasnt got  clue",-1,"Negatif"
"73","wilson provides runs  behind speed  ability    outlet      pure forward   complete centre forw",1,"Positif"
"74","england squad announcedgareth southgate ivan toney youre   tomori youre   jadon sancho  liked ",1,"Positif"
"75","southgatebielsa",0,"Netral"
"76","breaking reece james   given  devastating news  england boss gareth southgate   world cup dream ",-2,"Negatif"
"77"," southgate rang  blues ace  deliver  bad news  person telling     afford  take  risk  hi",-1,"Negatif"
"78","rightback jameswas desperate  make southgates squad  qatar despite last months knee injury",-2,"Negatif"
"79","raw honeyper kg weightloss seedsa pack ofseeds  ksh  take  totimesa weekfor tw",0,"Netral"
"80"," southgate rang  blues ace  deliver  bad news  person telling     afford  take  risk",-1,"Negatif"
"81"," wish southgate well",1,"Positif"
"82","gareth southgate  decided   take  risk  taking reece james   world cup",-1,"Negatif"
"83"," perdefender reece james  called  gareth southgate  tuesday   told  wont  pa",0,"Netral"
"84","southgate delivered  news  saying   afford  risk  fitness despite  positive scan yesterday  chelsea",1,"Positif"
"85","breaking reece james   given  devastating news  england boss gareth southgate   world cup dre",-2,"Negatif"
"86","southgate rang reece james  deliver  bad news  person telling     afford  take  risk   fitness",-1,"Negatif"
"87","gareth southgate  decided   take  gamble  taking chelseas reece james  theworld cup",0,"Netral"
"88","raw honeyper kg weightloss seedsa pack ofseeds  ksh  take  totimesa",0,"Netral"
"89","reece james looks set  miss  world cup  talks  england manager gareth southgate  report   sun",-1,"Negatif"
"90","southgate ",0,"Netral"
"91","suspect  will pretty much    squad looks like   maddison big fan  phillips  shouldnt b",1,"Positif"
"92","reece james   good  southgate cardboard cut  football    blessing fe",2,"Positif"
"93","   superb comedy night lined     november   hostat  exclusive cuba  south",1,"Positif"
"94"," gareth southgate   make  mind    coming days    personal thoughts    b",0,"Netral"
"95"," think   however id understand   southgate decides  ",0,"Netral"
"96","gareth southgate  decided   take reece james   world cupcome back stronger   break",0,"Netral"
"97","ive got  say  wont   least bit surprised england   snooze fest  south",0,"Netral"
"98","thanks  themillion views lets make itmillion views guysncaa kuda de jong kanu asake coutinho ",0,"Netral"
"99","philips amp maguire      know southgate will take ",0,"Netral"
"100","  going  world cup  whole media put pressure  southgate  pick madison   know  wont get game time",0,"Netral"
"101","  really expect anything else every centre half pairing   joke    opinion definitely ma",-1,"Negatif"
"102","reece james set  miss   englands world cup squad  gareth southgate  already finalised  man party",-1,"Negatif"
"103","   except  southgatedidnt include grealish    walking  water  villa  ",0,"Netral"
"104","brawa dla gareth southgate",0,"Netral"
"105","southgate  probably gonna leave maddison  lets hope ",0,"Netral"
"106","breaking gareth southgate  already finalised  man squad   world cup  made personal checks  ",-1,"Negatif"
"107"," issue   just taking  will  play himlook  rashford  sancho   euros southgate",-1,"Negatif"
"108","netherlandsmalawimatch report  teams came   match confident  wing backs kept  pitch wi",1,"Positif"
"109","gareth southgate  pulisic  course hes  two  three coaches  deal    think theres  moments  h",0,"Netral"
"110","relaxing room massage hard softlady boyajman",-1,"Negatif"
"111","reece james  set  miss   englands world cup squad  gareth southgate  already finalised ",-1,"Negatif"
"112","theres  good reason  england wins nothing  football amp    just southgate",2,"Positif"
"113","  footballer     mind  chat  gareth southgate   recent selection decisions ",0,"Netral"
"114"," think every   goits built   strengths  negating  st",0,"Netral"
"115","",0,"Netral"
"116","breaking gareth southgate  decided   take  gamble  taking s reece james  theworld cu",-1,"Negatif"
"117","gareth southgate responds  england exit fears  admission  fans criticism",-1,"Negatif"
"118","southgate making one good decision isyears   win  english football",2,"Positif"
"119"," squad lacks creativity    crazy  southgate leaves  ",-2,"Negatif"
"120","hp elitebookg intel core  th generation gb ram gb ssdinches touchscreen kshhit  dm  call",0,"Netral"
"121","southgate na coach",0,"Netral"
"122","breaking reece james   told    fit  three weeksleaving england boss gareth southgate   mass",-1,"Negatif"
"123","gareth southgate  taking reece jamesbye bye world cup dreams",0,"Netral"
"124","  see mount  righthes terrible playing  england jack  better fo",0,"Netral"
"125"," need    england  southgate  fuck    hes  worst manager afte",-2,"Negatif"
"126","cheap  legit odds fromguaranteed winbook  ticketinbox ",-1,"Negatif"
"127","southgate still gonna pick   world cup ahead  pancho",0,"Netral"
"128","ben white   god awful player worse   offspring  mustafi  squillaci   two  children together ",-2,"Negatif"
"129"," maddison doesnt go      something personal    southgate",0,"Netral"
"130","breakingreece james   told  specialists    fit inweeks time leaving southgate   huge selection dil",0,"Netral"
"131"," looking  someone    stair worry  moreis      located along northern bypass",-1,"Negatif"
"132","gareth southgate rang reece james  deliver  bad news  person telling     afford  take  risk ",-1,"Negatif"
"133","jijireece origimercy johnson southgate",0,"Netral"
"134","thank  southgate now  can actually heal properly  focus  club football",3,"Positif"
"135","yall dont know southgate yethell definitely start sterling  rashford",0,"Netral"
"136","reds   think trent alexanderarnold  jordan henderson make gareth southgates england squad",0,"Netral"
"137","gareth southgate can pull   surprise",0,"Netral"
"138","reece james  reportedly seen two specialists  believe    ready  play   end   month leaving",1,"Positif"
"139"," favourites   world cup  brazil   think  netherlands  argentina     hope england d",0,"Netral"
"140","southgate   probably feel  hasnt got quite    wants  get  yet id imagine  hes   good p",1,"Positif"
"141","  gareth southgate play    teams   england world cup boss managed",0,"Netral"
"142","shows  poor southgate    manager   picks names  form just  old names   old results",-1,"Negatif"
"143","calum wilson  fikayo tomori    called   wcotherwise southgate can share  hes smoking  ",0,"Netral"
"144","reece james   told   will   going  theworld cup  gareth southgatecome back stronger ",1,"Positif"
"145","southgate  taking  injury risk  one   best players    will take  risk  harry maguire   euros",-2,"Negatif"
"146","grab  amazing office  home furnitures fromat pocket friendly pricescallwhatsappdelive",2,"Positif"
"147","tomori  far better    england cb hopefully southgate know ",1,"Positif"
"148","neymars reaction   heard   going   qatar world cupeverybody loves  wcthia",1,"Positif"
"149","hopefully  can force  way  gareth southgates plansjames maddison   chances   selected ",0,"Netral"
"150"," international manager   favor  chelsea  thank  southgate  turning  reece james let ",2,"Positif"
"151"," relevantleave   southgate    sudden interest   national squadyouve never  arsed ",0,"Netral"
"152","yup  properjust like southgates management",1,"Positif"
"153","gh can save monies  wish u guys good luck im waiting  southgate  announce",2,"Positif"
"154","thats  southgate said  start",0,"Netral"
"155","alan shearer sends harry maguire warning  gareth southgate  tells england boss  pick arsenal defender ben wh",0,"Netral"
"156"," will southgate neville lineker amp beckham say amp dopresumably  tittle  tattle",0,"Netral"
"157","gareth southgate says christian pulisic  someone england need   ready   world cup",1,"Positif"
"158","maguire  aint gat playing time  man united   southgate cant win trophyfor england",1,"Positif"
"159","thank  southgate",1,"Positif"
"160","lenovo thinkpad ultrabookinch displayintel core istorage gb ram gb hddprocessor speed ghz window",0,"Netral"
"161","englands world cup squad  announced  thursdayif ben white isnt    gareth southgate  lost  mind ",-1,"Negatif"
"162","gareth southgate whenever james maddison plays  leicester",0,"Netral"
"163"," raheem sterling start can harry maguire still  relied    will gareth southgate find room  james maddison",0,"Netral"
"164","southgate may pick henderson  experience taa  abut   picks maguire    ",0,"Netral"
"165","  southgate last world cup  doesnt know whats ",0,"Netral"
"166","gareth southgate makes christian pulisic admission amid chelsea transfer links  usmnt star",0,"Netral"
"167","wednesdays back page reece james   given  devastating news  england boss gareth southgate   world",-1,"Negatif"
"168"," really dont see trent starting southgate will play walker  better defence",1,"Positif"
"169","reece james set  miss   englands world cup squad  gareth southgate  already finalised  man",-1,"Negatif"
"170"," man whos  good  dont even notice  hes one    consistent performers   team   wouldnt k",2,"Positif"
"171","gareth southgate whyyyyy tot  specialist said reece james will  fit   world cup",0,"Netral"
"172","exclusive gareth southgate tells reece james  england world cup dream  ",0,"Netral"
"173"," man whos  good  dont even notice  hes one    consistent performers   team   woul",2,"Positif"
"174","  timoris issue    great  serie    two worst games   season ",-1,"Negatif"
"175","time  shine oh wait southgate   manager",1,"Positif"
"176","happy  take kalvin phillips  doesnt even play regardless   injured  wont take  risk  hi",0,"Netral"
"177","southgate tells  reece james  england world cup dream  ",0,"Netral"
"178","sancho wont make  squad grealish   southgates lap",0,"Netral"
"179","gareth southgate will announce  official england squad   qatar world cup  weekwhen exactly will  three",0,"Netral"
"180","hp elitebookg intel core  th generation gb ram gb ssdinches touchscreen kshhit  dm o",0,"Netral"
"181"," style  play southgate typically employs doesnt really use  numberof maddisons profile",0,"Netral"
"182"," either   mount starting behind sterling  rashford next  kane  latter similar   formation ",0,"Netral"
"183","grealish come  man ur just worst  southgate",-1,"Negatif"
"184"," logging onto twitter tomorrow ready  call southgate  waistcoat fraud  tomori dont go world cup",0,"Netral"
"185"," wont pick maddison  southgate   problem  himmason mount hasnt   good g",0,"Netral"
"186","na hes defo finished  short term else southgate   picked   reason  go  someone like trent",1,"Positif"
"187","  can also understand  southgate devided    needs fit players",0,"Netral"
"188","gareth southgate    surprise us   controversialman england squad",0,"Netral"
"189","   asmall chance   available southgate   talen  s",1,"Positif"
"190","duh  mean  else can  expect   clown southgate",0,"Netral"
"191","  us     cups france missing  big midfielders  deschamps   weak poin",-1,"Negatif"
"192","   southgate id play trent  forward   works  genius clear",3,"Positif"
"193","southgate  hero",1,"Positif"
"194","gutted  james  southgate  made  right call james will get another opportunity  will  back stronge",1,"Positif"
"195","boils   managers klopp takes risks  rewards southgate doesnt",-1,"Negatif"
"196","people saying tomori surely  know  now southgate  favourites   know tom",0,"Netral"
"197"," play cb  thats  doubt   hasnt really played  southgate  rb ",-1,"Negatif"
"198","southgate allows players like maguire  henderson   squad says  lot   fraudulent activities",0,"Netral"
"199","southgate selecting players  arent even playing   clubs  will    starting xi  people believe  ar",0,"Netral"
"200","southgate  likes right backs",2,"Positif"
"201","southgate already picked  world cup squad    time   picked  euro squad  fact   last",0,"Netral"
"202"," gareth southgate just   reece james  cold cold cold broer",-3,"Negatif"
"203","trent   right player  gareth southgate formation  need trent  attacking minded  def",1,"Positif"
"204","honestly  see england  winningwatching southgate ball  horrendous",-1,"Negatif"
"205"," last statement  wrong man southgate selections  criminal",-2,"Negatif"
"206","groupb implies thatshould   clear favourites  breeze    last  ",2,"Positif"
"207","neville queries whether southgate can trust rash alexanderarnold  world cup",0,"Netral"
"208","    argument   actually surely southgate ",0,"Netral"
"209","  celebrate bad news  reece     worried southgate  play  injured   getting kante flashbacks",-1,"Negatif"
"210","southgate rang reece james  deliver  bad news telling     afford  take  risk   fitness",-1,"Negatif"
"211","southgate   idiot lmaohow can   start trent  playing  backis beyond ",-1,"Negatif"
"212","  take white  leave maguire  home  knowing southgate  picked  squad   time  picked  euros team",0,"Netral"
"213","southgate   bum managerhe doesnt utilise  english team wellhe  take  note  brazil",-1,"Negatif"
"214","jijimercy johnson coutinoh hazard southgate reece",-1,"Negatif"
"215"," gareth southgate picked  england team purely  average match ratings  season heres  starting x",0,"Netral"
"216"," southgate stick  lost sterling",-1,"Negatif"
"217"," gareth southgate  wise enoughsterlingkanesakabellinghammaddison",1,"Positif"
"218"," guys play like  sunday league team  southgate   think  will win  worl",2,"Positif"
"219","southgate cant get  right",1,"Positif"
"220","  see  going  maguire im man utd fan   love  see ben white  tomori play ahead ",1,"Positif"
"221","  stays fit  southgate doesnt play   left back  reckon kieran trippier  star",0,"Netral"
"222"," looking  someone    stair worry  moreis      located along northe",-1,"Negatif"
"223","  thank southgate  saving  career",1,"Positif"
"224","southgate will start pickford ahead  ramsdale",0,"Netral"
"225","reece james   told hes  going   world cup southgate delivered  news  saying   afford",1,"Positif"
"226","southgate will choose  ahead madison",0,"Netral"
"227","  frst time southgate  done something gooddont risk  chelsea  dependent  ",-1,"Negatif"
"228"," man whos  good  dont even notice  hes one    consistent performers   team   wouldnt kn",2,"Positif"
"229","literally  southgate",0,"Netral"
"230"," novi  allowed  guy  lives  southgate  voted  novith precinct  vote   c",0,"Netral"
"231","reece might  gutted  later  will thank southgate",1,"Positif"
"232","roma manager jose mourinho  aimed  dig   forward tammy abraham suggesting   preoccupied ahead  ",0,"Netral"
"233","  really hope southgate picks cresswell  cuz  cant  rely  shaw   lb   injured thats  gg",0,"Netral"
"234","dont get caught   guy  defends southgate   trash   euros",-1,"Negatif"
"235","diogo dalot  suspended   fulham match spidermanaaron wanbissaka   opportunity  prove  worth  erik te",1,"Positif"
"236","brentford stunned  league two gillingham  ivan toney goal  spot kick give southgate serious world cup dilem",1,"Positif"
"237","apparently hell    plane  qatarshowing  bloke mr southgate  fr",-1,"Negatif"
"238","bodied reece pames common southgate w",0,"Netral"
"239"," maguire makesit  gareth southgates world cup squad will hack southgates icloud  leak anything   ",-2,"Negatif"
"240","wouldnt   problem im just stating  obvious southgate will start trippier",-1,"Negatif"
"241","sack southgate",-1,"Negatif"
"242","yea  epl bias  ridiculous although  case really wasnt helped   performa",-1,"Negatif"
"243","grab  amazing office  home furnitures fromat pocket friendly pricescallwhatsapp",2,"Positif"
"244","lenovo thinkpad ultrabookinch displayintel core istorage gb ram gb hddprocessor speed ghz w",0,"Netral"
"245","southgate  completely clueless    understand  game  ",-1,"Negatif"
"246"," appreciate  optimism   wont say    surprised bc id  shocked   guys win ",2,"Positif"
"247","southgate delivered  news  saying   afford  risk  fitness despite  positive scan yesterday  chels",1,"Positif"
"248","gareth southgate  christian pulisic",0,"Netral"
"249","thank  southgate  need  risk  injury",-1,"Negatif"
"250","chelsea star reece james given devastating news  gareth southgate calls   say england world cup dream  ",-1,"Negatif"
"251","im givingto  new random barca followerso follow  maybe   wincoutinho latino beto dembele rep",0,"Netral"
"252","leave  maguire  sancho take white  sakathe england squad southgate must pick   world cup",0,"Netral"
"253","ben white forcing  way   england team  showing southgates son levels",0,"Netral"
"254"," asked  r  southgate",0,"Netral"
"255","fuck southgate waistcoat wearing weirdo  hope next time  walks   stairs  steps   step  isnt ",-1,"Negatif"
"256","madders definitely shagged southgates wife  smth",0,"Netral"
"257","southgate makes reece james decision  man world cup squad inclusion amid potters positive chelsea fitness u",1,"Positif"
"258","agreed southgate doesnt   hes   man   managing ",0,"Netral"
"259","cpr activation  n lauderdale fire atpm est southgate blvdcitizen responder just notifiednearby",0,"Netral"
"260","breaking gareth southgate  decided   take  gamble  taking s reece james  theworld cupvi",-1,"Negatif"
"261","dear gareth southgate",0,"Netral"
"262","  think  walking awaydid gareth southgate ever consider quitting  england job",0,"Netral"
"263"," narrative   wrong  continueand youre    people  will  attacking southgate   picking",-1,"Negatif"
"264","revealed gareth southgate  already picked  england world cup squad",0,"Netral"
"265","marcus rashford harry maguire  luke shaw  expected   called   southgate   england world cup squa",0,"Netral"
"266","southgate might  just saved reeces career  preventing    something stupid  rushing back fro ",-1,"Negatif"
"267","southgate masterclass incoming",0,"Netral"
"268","dont think southgate  play  tho hed rather play sterling    let  rot   bench",-1,"Negatif"
"269"," obviously isnt great     shouldnt risk  career just  play  southgates england alongside",0,"Netral"
"270","sorry   team    best engla",0,"Netral"
"271","southgate will    dont even need  list   teams thatll smack ",-1,"Negatif"
"272","gareth southgate  just want  talk",0,"Netral"
"273","  told hes  going  thesouthgate delivered  news  saying  ca",0,"Netral"
"274"," whos  main agency since  landed  southgate   lacofd",0,"Netral"
"275","scratch  head   see southgate managing  eng generation  thats  business",-1,"Negatif"
"276"," gareth southgate   crazy luck managed  guide england  world cup glory  still wouldnt   good football manager",2,"Positif"
"277","anyway itd   tough ask  tuchel  reece james  injured  chilwell  still    ",1,"Positif"
"278"," england sack gareth southgate  hire thomas tuchel  win  world cupthe fa  never   though",0,"Netral"
"279","sadly southgate  still manager  sadly youre still  twat remember brazilno heres",-2,"Negatif"
"280","  good idea   sure  troy southgate  like ",2,"Positif"
"281","sack southgate hire tuchel",-1,"Negatif"
"282","christian pulisic revealed back  february   puts  much pressure    save  usmntin  recent",0,"Netral"
"283","im reasonably happy   selection    just prefer  leave southgate  home",3,"Positif"
"284","seriously sack southgate already  hire tuchel  still havedays",-1,"Negatif"
"285"," theres even  slight chance  reece james can make  world cup  take   form hes    t",0,"Netral"
"286","southgate shld take trent   finals play   ko stage whereopposition win  match   go",1,"Positif"
"287","southgate   doesnt take benny blanco   wc",0,"Netral"
"288","southgate va  citar  ben white antes que  trent",0,"Netral"
"289","bro ive  antisouthgate since  arrivedthats  ive already accepted  benny  madde",0,"Netral"
"290","playing  way southgate plays   good runs inworld cup   euros means  holds    job f",1,"Positif"
"291"," think england  southgate havedug  deeper   hole  every passing tournament  core  ",0,"Netral"
"292","na god go punish southgate",-1,"Negatif"
"293","dont get  wrong white    init  im anti southgate man  time  done",-1,"Negatif"
"294","  fair england  performed better  southgate  previous managers regardless  recent results",2,"Positif"
"295","mr southgate maguire  baggott inoh  nohe  indonesian",0,"Netral"
"296"," gareth southgate   experience  utilise  grow    best young talent  world football",2,"Positif"
"297"," little biased   southgate can get  right  dont see   cant win  majority  ",1,"Positif"
"298","gareth southgates already finalised man england squad  qatar world cup",0,"Netral"
"299","wtf  going   downey southgate     bridges closed",0,"Netral"
"300"," latest analysis foron  main contenders   selected  harry kanes backups   world cup h",0,"Netral"
"301","full article ",0,"Netral"
"302","southgate   pressure theres  hiding   youre  another level  comes  great rewards ad",1,"Positif"
"303","southgate   big box office big story big news story front  back pages      different dy",0,"Netral"
"304","southgate    really outstanding players    argue   influential   team  ",2,"Positif"
"305","southgate ive  fortunate   lived  life   england camp  paul gascoigne   start ",1,"Positif"
"306","christian pulisic revealed back  february   puts  much pressure    save  usmntin ",0,"Netral"
"307","   friendlies didnt even   full squad   everyone gets t",0,"Netral"
"308","change  gareth southgate  wc",0,"Netral"
"309","southgate ran  nations league",0,"Netral"
"310"," gareth southgate will confirm  selection    might pick  qatar ahead  iran opener  november",0,"Netral"
"311"," recent tournament england reach semifinaland sobut ikthey aint gonna win",1,"Positif"
"312"," dont see  gareth southgate  go   knockout game   world cup",0,"Netral"
"313","rare southgate w",0,"Netral"
"314","madders rested  southgates request hopeful",1,"Positif"
"315"," southgate injury ",-1,"Negatif"
"316","thank  gareth southgate  whole chelsea fan association thank    service",2,"Positif"
"317","maguire shouldnt even  anywhere near  airport lol ",0,"Netral"
"318","see russiasouthgate seems   fluke   middle name",0,"Netral"
"319","  fan ofits unfortunate  ifare going    harry maguireled backline  southgate",-1,"Negatif"
"320","southgate needs sectioning  maddison isnt   bus hes clear  mount well clear  grealish  certainly",3,"Positif"
"321"," know   mate   cant  hold people accountable whether  ",0,"Netral"
"322","smalling   best cb back inseasonstill  didnt made  world cup squadhe wante",1,"Positif"
"323","maguire ahead  tomoriyou   different  southgate",0,"Netral"
"324","say   want  southgate hes useless   owes maddison nothing",-1,"Negatif"
"325","gareth southgate makes christian pulisic admission amid chelsea transfer exit talk",0,"Netral"
"326","give   rest    fucking world works southgate also   job   line guys  successful ",1,"Positif"
"327","southgate commenting  pulisic",0,"Netral"
"328","breaking reece james   given  devastating news  england boss gareth southgate   world cup dream",-2,"Negatif"
"329","james maddison simply      england squad southgates always said  hell pick players  form  n",-1,"Negatif"
"330","southgate  know   ",0,"Netral"
"331","southgate isnt getting past  round ",0,"Netral"
"332","gareth southgate explains christian pulisic  struggling  chelsea",-1,"Negatif"
"333","southgate   little crew makes  sick  absolutely musty players running aroun",-2,"Negatif"
"334","idk  theyll make      know southgate shouldnt",0,"Netral"
"335","good morning schedule  appointment today  us   great massage therapy  will help  feel much better ",3,"Positif"
"336","southgates team imopickford ramsdale popetrippier walker taamaguire stones white coady diershaw mitchell",0,"Netral"
"337","unbelievable including phillips  playing justmins  season ",-1,"Negatif"
"338","good morning schedule  appointment today  us   great massage therapy  will help  feel much bette",2,"Positif"
"339"," voted thomas ferris  southgate mayor",0,"Netral"
"340"," way southgates dropped reece james",0,"Netral"
"341"," know   will pick  hes totally predictable rashford  mount may start  ya know  going   ",0,"Netral"
"342","england football manager gareth southgate says locker room  embrace gay player",0,"Netral"
"343","chelsea gareth southgate explains  christian pulisic  struggledfootball",0,"Netral"
"344"," hes played shit  hes performed  best  rw    f",0,"Netral"
"345","within  gareth southgate  spoken   injured players kyle walker kalvin phillips  reece james positiv",0,"Netral"
"346","reece james   told hes  going   world cupsouthgate delivered  news  saying   afford  risk h",0,"Netral"
"347","theres  way southgate  picksrb hell pick  least",-1,"Negatif"
"348","please southgate  leave reece alone",0,"Netral"
"349","countdowndays   firstmatchanderson rings gareth southgate  says h",0,"Netral"
"350","southgates men will bring football home finally",0,"Netral"
"351","southgate   take ",0,"Netral"
"352","chilwellshaw tomori white trippier   englands backline  southgate  never",0,"Netral"
"353"," course   dont know   even good enough  win  s",3,"Positif"
"354","southgate selecting players  arent even playing   clubs  will    starting xi  people belie",-1,"Negatif"
"355","episodehosts gaffa shaq  sean discuss  best games   premier league weekend salah bags  brace ",2,"Positif"
"356","southgate will take  defensive players  midfielders  attackers",-1,"Negatif"
"357","southgate will      group stage",0,"Netral"
"358","qatar world cup ambassador beckham  earnmillion  ten years    outrage   bbc  press ",-1,"Negatif"
"359","   agreed  garett southgate  losing  job  winter yeahhence  couldnt care less jare",-1,"Negatif"
"360","gareth southgates already finalised man england squad  qatar world cupdaily star",0,"Netral"
"361","southgate brought  injured maguire   james   tournamentpotter  southgate  will  misery end",-1,"Negatif"
"362","england football manager gareth southgate says locker room  embrace gay player footballers  afraid   re",-1,"Negatif"
"363","better   southgate will take",1,"Positif"
"364","   england  absolutely  chance   bin southgate well   almost theres",1,"Positif"
"365"," southgate  manager  wouldnt  surprised",0,"Netral"
"366","gareth southgate  dogshit",0,"Netral"
"367"," walkers fitness  concern white  southgates best option  rcb southgate  bum though",-1,"Negatif"
"368","might  beat us   group stage   still came ou",0,"Netral"
"369","world cupalan shearer suggests england man squad  gareth southgate",0,"Netral"
"370","playing  two defensive mids    bori",-1,"Negatif"
"371","good  chelsea    feel       risking  career   bum southgate anyways",0,"Netral"
"372","canwin theunder gareth southgateour tactical analysis preview video  available nowclick",1,"Positif"
"373","southgate don t deserve trent  cheap style  playtrent deserve dominant team like germanyspain ",0,"Netral"
"374","can gareth southgatesfinally bring thehomeour tactical analysis preview video  ou",0,"Netral"
"375","trents  least  southgate problems southgate costs england  picking  best inform players",0,"Netral"
"376","happy   considering  means  wont  rushed   recovery   werent going  win   southg",3,"Positif"
"377","wednesdays back page reece james   given  devastating news  england boss gareth southgate   wo",-1,"Negatif"
"378","homophobia  southgate get  gone",0,"Netral"
"379","still  young ladwould get  certainly  think southgate used wisdom hereit feels good uno",2,"Positif"
"380","sad    hed  wildly overused  southgate  im also glad",-1,"Negatif"
"381","england world cup squad announced  thursday apparently  ben white doesnt get called   southgates  cr",0,"Netral"
"382","rd placesouthgate baronsprosenemy   enemies   friend great trade partnercommonly  allian",0,"Netral"
